"ID","参照記号","パッケージ","数","名称","Supplier and ref",
1,"FL4,FL3,FL2,FL1","L_CommonModeChoke_Coilcraft_0805USB",4,"EMI_Filter_CommonMode",,,
2,"J2,J1","1149868",2,"1149868",,,
